PROT_SDI,COD_COLP_DA_PROVV,SEX_COLP_PROVV,ETA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV_ISO
BOCS112024000063,20020924145544295224,MASCHIO,42,ITALIA,ITA
BOCS132024850093,20041126161200919481,MASCHIO,31,ITALIA,ITA
BOCS202024000092,20060920100456126629,MASCHIO,47,BANGLADESH,BGD
BOCS212024000011,20240831154227587337,MASCHIO,40,ITALIA,ITA
BOCS222024000002,20080101201121864690,MASCHIO,47,MAROCCO,MAR
BOCS222024000026,19950422101247027459,MASCHIO,51,ITALIA,ITA
BOCS252024850291,20081013125113132266,MASCHIO,30,ITALIA,ITA
BOCS252024850762,20210218150525508015,MASCHIO,25,ITALIA,ITA
BOCS272024000053,20090616024416817205,FEMMINA,78,ITALIA,ITA
BOCS302024000001,20030902145535603599,MASCHIO,53,ITALIA,ITA
BOCS322024000007,20060320201026251753,MASCHIO,84,ITALIA,ITA
BOCS322024000007,20240123130908138661,MASCHIO,84,ITALIA,ITA
BOCS322024000022,19961113094137466520,MASCHIO,51,ITALIA,ITA
BOCS332024000001,20221109132927999070,FEMMINA,54,MOLDAVIA,MDA
BOCS342024000021,20160810162428442756,MASCHIO,27,ITALIA,ITA
BOCS362024000033,20010915011838265572,MASCHIO,36,ITALIA,ITA
BOCS362024000053,20240804190541643807,FEMMINA,42,FRANCIA,FRA
BOCS362024000055,20100507114049722841,MASCHIO,29,MOLDAVIA,MDA
BOCS362024850233,20050418133357232309,MASCHIO,34,UCRAINA,UKR
BOCS372024000039,20010623175648857211,MASCHIO,53,ITALIA,ITA
BOCS372024000122,20250206182405176601,MASCHIO,34,GAMBIA,GMB
BOCS392024000006,20030906114457905903,MASCHIO,42,MAROCCO,MAR
BOCS402024000025,20170401054715821627,MASCHIO,63,ITALIA,ITA
BOCS402024000042,20071017072821920303,MASCHIO,36,ROMANIA,ROU
BOCS402024850540,20010716154257754355,MASCHIO,38,ALBANIA,ALB
BOCS442024000056,20240103155752872650,FEMMINA,44,TUNISIA,TUN
BOCS442024000088,20220718165633608890,MASCHIO,14,ITALIA,ITA
BOCS452023000087,19990520105636038342,MASCHIO,47,ITALIA,ITA
BOCS452024000082,20040409014843033706,MASCHIO,41,ITALIA,ITA
BOCS452024850489,20080524081815799301,FEMMINA,45,MAROCCO,MAR
BOCS502024000004,20070924184231926810,MASCHIO,37,ALBANIA,ALB
BOCS502024000010,20000217001802444222,MASCHIO,67,ITALIA,ITA
BOCS512023000236,20191226225815211052,FEMMINA,41,ROMANIA,ROU
BOCS512024000187,20041020171636290565,MASCHIO,40,ITALIA,ITA
BOCS522024000018,,NON INDICATO,,,
BOCS522024000018,20070215101226227070,MASCHIO,70,ITALIA,ITA
BOCS532024000041,20030315165143558406,MASCHIO,48,ITALIA,ITA
BOCS532024000065,20091211090825500957,MASCHIO,26,ITALIA,ITA
BOCS552024000028,20240604125653981206,MASCHIO,43,PERU',PER
BOCS562024000014,20010705114600898748,MASCHIO,40,ROMANIA,ROU
BOCS562024000018,19961024112641002935,MASCHIO,46,ITALIA,ITA
BOCS562024850071,20140717223203233044,MASCHIO,36,MAROCCO,MAR
BOCS562025000005,20250209130239854909,MASCHIO,23,PAKISTAN,PAK
BOCS592024000002,19961021110740259054,MASCHIO,56,ITALIA,ITA
BOCS622024000014,20030228143710015658,MASCHIO,56,ITALIA,ITA
BOCS662024000007,20200901112723698837,MASCHIO,27,ITALIA,ITA
BOCS662024000021,20070804030414774330,MASCHIO,37,ITALIA,ITA
BOCS662024000082,20180201121946037388,MASCHIO,24,ITALIA,ITA
BOCS782024000004,20130507214315015294,MASCHIO,55,SVIZZERA,CHE
BOCS782024000008,20000511134802084876,MASCHIO,55,ALBANIA,ALB
BOCS782024000048,20000510155442076685,FEMMINA,50,ITALIA,ITA
BOCS782024000094,19990830105315255052,MASCHIO,70,MAROCCO,MAR
BOCS792024850085,,NON INDICATO,,,
BOPC022024000004,20010908002154163751,MASCHIO,40,ITALIA,ITA
BOPC022024000024,20120223162441139107,MASCHIO,50,NIGERIA,NGA
BOPC022024000100,20020219102936707222,MASCHIO,46,ITALIA,ITA
BOPC022024000174,20161007112337886603,MASCHIO,47,UCRAINA,UKR
BOPC042024000134,20060530084916395450,MASCHIO,43,ITALIA,ITA
BOPC062024000497,20011206113413646903,MASCHIO,38,PAKISTAN,PAK
BOPQ102024000053,20100224185150565994,MASCHIO,45,NIGERIA,NGA
BOPQ102024000407,19860512083452704089,MASCHIO,76,ITALIA,ITA
BOPQ312023000038,,NON INDICATO,,,
BOPQ312023000350,,NON INDICATO,,,
BOPQ312024000045,,NON INDICATO,,,
BOPQ312025000305,,NON INDICATO,,,
BRCC022023850016,20220331091313071576,MASCHIO,15,ITALIA,ITA
BRCC022023850016,20240809183310406608,FEMMINA,15,ITALIA,ITA
BRCC022023850016,20240809183310419182,FEMMINA,15,ITALIA,ITA
BRCC022023850016,20240809184958003250,MASCHIO,14,ITALIA,ITA
BRCC022023850016,20240809184958018680,MASCHIO,15,ITALIA,ITA
BRCC022024000062,19840513111235002542,FEMMINA,68,ITALIA,ITA
BRCC022024000062,19840513111235002542,MASCHIO,68,ITALIA,ITA
BRCS032024850066,19870928124819010269,MASCHIO,70,ITALIA,ITA
BRCS042024000057,20160801095706423563,MASCHIO,22,ITALIA,ITA
BRCS172025000025,20031228160757170223,MASCHIO,39,ITALIA,ITA
BRCS202024000035,20080326104857722711,MASCHIO,64,ITALIA,ITA
BRCS212023852043,20160322000351891516,FEMMINA,67,ITALIA,ITA
