anno,provincia,delitto,eta_alla_data_del_reato_vittima,valore,provincia_uts,codice_provinciauts,codice_provincia_storico,codice_regione,regione,ripartizione_geografica,sigla_automobilistica,provinciauts_corretto,codice_ripartizione_geografica
2019,TORINO,10. MINACCE,14-17,19,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,10. MINACCE,14-17,20,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,10. MINACCE,14-17,18,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,10. MINACCE,14-17,12,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,10. MINACCE,14-17,23,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,10. MINACCE,14-17,19,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,10. MINACCE,18-24,100,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,10. MINACCE,18-24,85,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,10. MINACCE,18-24,82,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,10. MINACCE,18-24,90,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,10. MINACCE,18-24,72,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,10. MINACCE,18-24,83,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,10. MINACCE,25-34,239,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,10. MINACCE,25-34,189,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,10. MINACCE,25-34,159,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,10. MINACCE,25-34,148,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,10. MINACCE,25-34,159,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,10. MINACCE,25-34,138,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,10. MINACCE,35-44,310,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,10. MINACCE,35-44,243,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,10. MINACCE,35-44,206,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,10. MINACCE,35-44,215,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,10. MINACCE,35-44,204,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
